token_prev,token_next,count,prob_mle
MS149,MS42,7,0.045454545454545456
MS93,MS100,7,0.045454545454545456
MS39,MS141,7,0.045454545454545456
MS28,MS124,5,0.032467532467532464
MS42,MS149,4,0.025974025974025976
MS170,MS143,4,0.025974025974025976
MS38,MS101,3,0.01948051948051948
MS38,MS22,3,0.01948051948051948
MS63,MS176,3,0.01948051948051948
MS44,MS50,3,0.01948051948051948
MS68,MS101,3,0.01948051948051948
MS56,MS149,3,0.01948051948051948
MS182,MS114,3,0.01948051948051948
MS36,MS138,3,0.01948051948051948
MS169,MS39,3,0.01948051948051948
MS42,MS93,2,0.012987012987012988
MS50,MS24,2,0.012987012987012988
MS24,MS44,2,0.012987012987012988
MS171,MS143,2,0.012987012987012988
MS75,MS129,2,0.012987012987012988
MS129,MS75,2,0.012987012987012988
MS143,MS170,2,0.012987012987012988
MS44,MS45,2,0.012987012987012988
MS101,MS68,2,0.012987012987012988
MS141,MS63,2,0.012987012987012988
MS124,MS28,2,0.012987012987012988
MS97,MS29,2,0.012987012987012988
MS22,MS38,2,0.012987012987012988
MS138,MS36,2,0.012987012987012988
MS30,MS31,2,0.012987012987012988
MS152,MS23,2,0.012987012987012988
MS57,MS28,2,0.012987012987012988
MS176,MS63,2,0.012987012987012988
MS114,MS103,2,0.012987012987012988
MS143,MS171,2,0.012987012987012988
MS170,MS22,2,0.012987012987012988
MS165,MS68,2,0.012987012987012988
MS63,MS54,2,0.012987012987012988
MS141,MS39,2,0.012987012987012988
MS100,MS93,2,0.012987012987012988
MS150,MS164,2,0.012987012987012988
MS101,MS63,1,0.006493506493506494
MS38,MS149,1,0.006493506493506494
MS54,MS28,1,0.006493506493506494
MS38,MS37,1,0.006493506493506494
MS176,MS165,1,0.006493506493506494
MS138,MS57,1,0.006493506493506494
MS101,MS38,1,0.006493506493506494
MS100,MS5,1,0.006493506493506494
MS103,MS101,1,0.006493506493506494
MS101,MS103,1,0.006493506493506494
MS149,MS56,1,0.006493506493506494
MS29,MS97,1,0.006493506493506494
MS150,MS170,1,0.006493506493506494
MS114,MS182,1,0.006493506493506494
MS171,MS68,1,0.006493506493506494
MS23,MS152,1,0.006493506493506494
MS54,MS57,1,0.006493506493506494
MS38,MS170,1,0.006493506493506494
MS165,MS97,1,0.006493506493506494
MS22,MS165,1,0.006493506493506494
MS141,MS165,1,0.006493506493506494
MS124,MS54,1,0.006493506493506494
MS29,MS165,1,0.006493506493506494
MS103,MS114,1,0.006493506493506494
MS31,MS44,1,0.006493506493506494
MS28,MS54,1,0.006493506493506494
MS100,MS75,1,0.006493506493506494
MS141,MS99,1,0.006493506493506494
MS75,MS93,1,0.006493506493506494
MS39,MS149,1,0.006493506493506494
MS170,MS176,1,0.006493506493506494
MS171,MS97,1,0.006493506493506494
MS107,MS96,1,0.006493506493506494
MS39,MS169,1,0.006493506493506494
MS54,MS63,1,0.006493506493506494
MS75,MS57,1,0.006493506493506494
MS57,MS75,1,0.006493506493506494
MS79,MS28,1,0.006493506493506494
MS28,MS79,1,0.006493506493506494
MS169,MS169,1,0.006493506493506494
MS124,MS37,1,0.006493506493506494
