sign,count,prob_mle
MS20,87,0.2652439024390244
MS149,13,0.039634146341463415
MS39,11,0.03353658536585366
MS38,10,0.03048780487804878
MS63,10,0.03048780487804878
MS101,9,0.027439024390243903
MS141,9,0.027439024390243903
MS42,8,0.024390243902439025
MS93,8,0.024390243902439025
MS100,8,0.024390243902439025
MS143,8,0.024390243902439025
MS28,8,0.024390243902439025
MS75,8,0.024390243902439025
MS165,7,0.021341463414634148
MS44,7,0.021341463414634148
MS124,7,0.021341463414634148
MS170,7,0.021341463414634148
MS22,6,0.018292682926829267
MS176,6,0.018292682926829267
MS171,6,0.018292682926829267
MS54,6,0.018292682926829267
MS68,6,0.018292682926829267
MS138,5,0.01524390243902439
MS103,5,0.01524390243902439
MS97,5,0.01524390243902439
MS114,5,0.01524390243902439
MS169,5,0.01524390243902439
MS57,4,0.012195121951219513
MS50,3,0.009146341463414634
MS24,3,0.009146341463414634
MS129,3,0.009146341463414634
MS56,3,0.009146341463414634
MS150,3,0.009146341463414634
MS182,3,0.009146341463414634
MS36,3,0.009146341463414634
MS152,3,0.009146341463414634
MS37,2,0.006097560975609756
MS45,2,0.006097560975609756
MS29,2,0.006097560975609756
MS30,2,0.006097560975609756
MS31,2,0.006097560975609756
MS23,2,0.006097560975609756
MS79,2,0.006097560975609756
MS164,2,0.006097560975609756
MS5,1,0.003048780487804878
MS99,1,0.003048780487804878
MS107,1,0.003048780487804878
MS96,1,0.003048780487804878
